iter	Logloss
0	0.6598704346
1	0.6304259712
2	0.6056555386
3	0.586518201
4	0.562608636
5	0.5267993409
6	0.5030477948
7	0.4886048568
8	0.4679504364
9	0.4587068904
10	0.4465639946
11	0.4364856808
12	0.4256607445
13	0.4171548876
14	0.4090421316
15	0.3998684373
16	0.3946213404
17	0.3875318453
18	0.3824848071
19	0.3775079576
20	0.3721534324
21	0.3697965575
22	0.3643101699
23	0.3592977811
24	0.3568403492
25	0.3533660861
26	0.3491932368
27	0.3455782716
28	0.3398838999
29	0.3367433686
30	0.3335118089
31	0.331888793
32	0.3294807885
33	0.3279890459
34	0.3261669079
35	0.3245345451
36	0.3217987436
37	0.3202027439
38	0.3176523735
39	0.314614093
40	0.3133087158
41	0.3105381091
42	0.3086534732
43	0.3076077763
44	0.3057824458
45	0.3008171421
46	0.2982778115
47	0.296046026
48	0.2940077793
49	0.2919301232
50	0.2908731095
51	0.2896484404
52	0.2886110916
53	0.2857161322
54	0.2842596305
55	0.2820747474
56	0.2810271743
57	0.2795388596
58	0.2783556629
59	0.2770908128
60	0.2759578698
61	0.2752188643
62	0.2744375622
63	0.2735750814
64	0.2718290637
65	0.2695066378
66	0.2686246016
67	0.2669800724
68	0.2657732444
