iter	Passed	Remaining
0	2	2822
1	4	2586
2	6	2357
3	7	2240
4	9	2245
5	11	2199
6	13	2153
7	14	2131
8	16	2104
9	18	2112
10	20	2142
11	22	2184
12	24	2172
13	26	2171
14	28	2154
15	29	2145
16	31	2130
17	33	2143
18	35	2147
19	37	2159
20	39	2150
21	41	2146
22	43	2143
23	45	2139
24	46	2128
25	48	2118
26	50	2127
27	52	2120
28	53	2111
29	55	2105
30	57	2107
31	59	2102
32	61	2095
33	62	2088
34	65	2102
35	67	2109
36	69	2107
37	71	2105
38	73	2107
39	75	2108
40	77	2111
41	79	2114
42	81	2121
43	83	2122
44	86	2144
45	90	2186
46	91	2184
47	93	2179
48	95	2172
49	97	2172
50	99	2171
51	101	2163
52	103	2157
53	104	2153
54	106	2154
55	108	2151
56	110	2148
57	112	2142
58	114	2143
59	116	2138
60	117	2130
61	119	2124
62	121	2122
63	123	2119
64	125	2114
65	126	2110
66	128	2104
67	130	2102
68	132	2097
