|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
| user | rating_mean        | rating_std          | rating_median | rating_min | rating_max | rating_count | rating_range | rating_entropy      | avg_item_popularity | std_item_popularity | mean_deviation         | std_deviation       | abs_mean_deviation  | label |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  100 |  3.147727272727273 |  1.1699275223378203 |           3.0 |          0 |          5 |           88 |            5 |  1.4554613281460829 |  400.72727272727275 |  189.56736753422473 |    -0.3401156842846863 |  1.1203341775474798 |   0.852989942709868 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  101 |  3.406926406926407 |   0.854015878451606 |           3.0 |          0 |          5 |          231 |            5 |  1.1938378344934806 |  352.24675324675326 |  162.20133671063604 |   0.052775394598934086 |   0.745981820362439 |  0.5616989384408612 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  102 |  3.673469387755102 |   1.072385434287405 |           4.0 |          1 |          5 |           98 |            4 |  1.3470827324919616 |    380.234693877551 |  181.69277349021104 |     0.3495554048010189 |   1.120093667702804 |  0.9816958809136235 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  103 |                3.0 |  1.2909944487358058 |           3.0 |          0 |          5 |          103 |            5 |   1.555827150752323 |  358.07766990291265 |  158.93960434646718 |   -0.30811533559787013 |  1.2796494440827386 |   1.023575505075264 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  104 | 3.7191011235955056 |  0.9884418873448324 |           4.0 |          1 |          5 |           89 |            4 |  1.2657453487736878 |   357.0561797752809 |  195.12003063094738 |     0.4826209745673086 |  0.7974905058042487 |  0.7496101360526357 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  105 | 3.2601626016260163 |  0.8855617683002938 |           3.0 |          1 |          5 |          123 |            4 |  1.2645956849924864 |   332.1219512195122 |  168.68102526569527 |    0.13521797394479793 |  0.6639624171725522 |  0.5452621760531939 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  106 |  2.987012987012987 |   1.152725677111091 |           3.0 |          0 |          5 |           77 |            5 |   1.479902777422776 |  346.93506493506493 |   174.8717076859744 |    -0.3326576935294974 |  1.2163393646777845 |  0.9941870720986975 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  107 |  3.308641975308642 |  0.7903450824057997 |           3.0 |          1 |          5 |          162 |            4 |  1.1767579190160171 |  379.91358024691357 |  160.88217188545306 |   -0.08081288901584154 |  0.7299031721831518 |  0.5896917838050009 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  108 |   3.37888198757764 |  0.7979982720758392 |           3.0 |          1 |          5 |          161 |            4 |  1.1630994910268184 |               354.0 |  180.22274412515196 |   0.044243078378970416 |  0.8031766432892224 |  0.6407541184711781 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  109 |  3.511111111111111 |  1.2120848140802265 |           4.0 |          0 |          5 |          180 |            5 |  1.5296910151956142 |  385.27222222222224 |  156.96132785486208 |    0.04317521420934819 |  1.0684045185700628 |  0.9058855496833544 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  110 | 2.8225806451612905 |   0.878228349789135 |           3.0 |          1 |          5 |           62 |            4 |  1.2350438085825344 |   385.4193548387097 |  172.26100558593805 |    -0.4475178003424412 |  0.8177696851159555 |  0.7283548632733295 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  111 | 3.4615384615384617 |  0.7516008556101077 |           3.0 |          1 |          5 |           65 |            4 |  1.0995483292423227 |  413.46153846153845 |   178.7922220171956 |   -0.10315957386993656 |  0.6604389770167997 |  0.5499360556978874 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  112 | 3.4049079754601226 |  0.6906611326266916 |           3.0 |          1 |          5 |          163 |            4 |   1.006187467827076 |  363.17791411042947 |  171.53846058484888 |   0.051154138002743973 |  0.6317552621423941 |  0.4865914891099927 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  113 | 3.4771784232365146 |  0.7586294696353222 |           3.0 |          2 |          5 |          241 |            3 |  1.1353118364444823 |   302.8008298755187 |  168.13673056763975 |    0.25708498021974596 |  0.6350289565533113 |  0.5747618430596514 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  114 | 2.7874015748031495 |   1.348896793561331 |           3.0 |          0 |          5 |          127 |            5 |  1.5315119725057638 |  362.48818897637796 |  178.71658267459307 |    -0.4996832350461551 |  1.2725518577114139 |  1.0292467008030624 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  115 |  2.435185185185185 |  1.6926070592357612 |           2.0 |          0 |          5 |          108 |            5 |  1.7824053473429837 |   349.1296296296296 |  181.92481206454863 |    -1.0709047352110472 |  1.6959196684247135 |  1.6564930126463446 |     1 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  116 |               3.16 |  1.4429699103453828 |           4.0 |          0 |          5 |           75 |            5 |  1.4088131112702587 |              343.12 |  192.99075457480168 |    -0.1496514570720654 |  1.5635790625296493 |  1.1406452946188441 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  117 |  2.763888888888889 |   0.999902186139542 |           3.0 |          0 |          5 |           72 |            5 |   1.334821802926653 |   374.2083333333333 |  184.48542348617477 |    -0.5708400015003472 |    0.99047825534351 |  0.8479392889130021 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  118 |  3.669724770642202 |  0.8846589926463538 |           4.0 |          1 |          5 |          436 |            4 |  1.2739906527369538 |  254.59174311926606 |  172.86632487704134 |     0.3471791139903271 |  0.8175726222832052 |  0.7206274183244428 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  119 | 3.5618729096989967 |  0.7226102739062934 |           4.0 |          2 |          5 |          299 |            3 |  1.0886917892410128 |  317.96655518394647 |  168.33772447588083 |    0.23816610023870607 |   0.745141982576137 |  0.6368620639305294 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  120 | 4.2592592592592595 |  0.8482007099999648 |           5.0 |          3 |          5 |           81 |            2 |  1.0247727743980646 |  429.91358024691357 |  175.70473795055037 |     0.6819415843207958 |  0.8447305647685129 |  0.9360138097459897 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  121 | 3.2519083969465647 |  0.8352200212231659 |           3.0 |          1 |          5 |          131 |            4 |   1.226742311341568 |   338.5267175572519 |   163.0410202393285 |  -0.015842442702520457 |  0.7142369341905014 |   0.544833258536888 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  122 | 3.7916666666666665 |  1.0206207261596576 |           4.0 |          2 |          5 |           24 |            3 |  1.2678856031498182 |   392.7916666666667 |  184.60815827435493 |    0.34881637804574894 |  1.0893008026465476 |  0.9496529644551251 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  123 |  3.606896551724138 |  0.8358009442390005 |           4.0 |          1 |          5 |          145 |            4 |   1.216363827344799 |   392.2413793103448 |  168.71212644381967 |     0.1401169329627172 |  0.8315629845143266 |  0.6943804083292733 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  124 | 3.0892448512585813 |  1.2148917824733874 |           3.0 |          0 |          5 |          437 |            5 |  1.5670301585499178 |   271.6178489702517 |  164.10960186351946 |   -0.16496818769895913 |  1.1417405643725251 |  0.8822280724391834 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  125 | 3.6164383561643834 |  0.7570068432521554 |           4.0 |          2 |          5 |           73 |            3 |   1.094623845119258 |    361.958904109589 |  189.66977431227997 |     0.3158023039215155 |  0.7348426094015278 |  0.6341976191837525 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  126 |  4.333333333333333 |  0.7844645405527364 |           5.0 |          3 |          5 |           27 |            2 |   1.013261884144225 |  452.85185185185185 |   159.6755613745726 |     0.9796399556323754 |  0.6588546290010245 |  1.0388851511482238 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  127 | 2.8944099378881987 |  1.1579468588845605 |           3.0 |          0 |          5 |          322 |            5 |     1.5281173607174 |  281.19565217391306 |   175.3917437670901 |   -0.48477033682670406 |  1.0381990774601206 |   0.947251680828558 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
|  128 | 3.2070175438596493 |  0.8736880807056862 |           3.0 |          1 |          5 |          285 |            4 |  1.2764183497055452 |   297.7263157894737 |  171.57701277293245 |  -0.007130839894541384 |  0.7982547935577718 |  0.6429696762286812 |     0 |
|------|--------------------|---------------------|---------------|------------|------------|--------------|--------------|---------------------|---------------------|---------------------|------------------------|---------------------|---------------------|-------|
